select * from angajati;,20 5 2022 17:03
select * from medici;,20 5 2022 17:03
select * from pacienti;,20 5 2022 17:03
select * from programari;,20 5 2022 17:03
select * from angajati;,20 5 2022 20:50
select * from angajati;,20 5 2022 20:50
select * from angajati;,20 5 2022 20:50
select * from angajati;,20 5 2022 20:50
select * from angajati;,20 5 2022 20:50
select * from angajati;,20 5 2022 20:50
select * from angajati;,20 5 2022 20:55
select * from angajati;,20 5 2022 20:55
select * from angajati;,20 5 2022 20:55
select * from angajati;,20 5 2022 20:55
select * from medici;,20 5 2022 20:55
select * from medici;,20 5 2022 20:55
select * from pacienti;,20 5 2022 20:56
select * from pacienti;,20 5 2022 20:56
select * from programari;,20 5 2022 20:56
select * from programari;,20 5 2022 20:56
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from angajati;,20 5 2022 20:58
select * from pacienti;,20 5 2022 20:58
select * from medici;,20 5 2022 20:58
select * from programari;,20 5 2022 20:58
select * from programari;,20 5 2022 20:58
select * from programari;,20 5 2022 20:58
select * from programari;,20 5 2022 20:58
select * from angajati;,20 5 2022 21:02
select * from angajati;,20 5 2022 21:02
select * from angajati;,20 5 2022 21:02
select * from angajati;,20 5 2022 21:02
select * from angajati;,20 5 2022 21:02
select * from angajati;,20 5 2022 21:02
select * from programari;,20 5 2022 21:02
select * from medici;,20 5 2022 21:02
select * from medici;,20 5 2022 21:02
select * from programari;,20 5 2022 21:02
select * from angajati;,20 5 2022 21:04
select * from angajati;,20 5 2022 21:04
select * from medici;,20 5 2022 21:04
select * from pacienti;,20 5 2022 21:04
select * from programari;,20 5 2022 21:04
select * from programari;,20 5 2022 21:04
select * from pacienti;,20 5 2022 21:04
select * from angajati;,20 5 2022 21:09
select * from medici;,20 5 2022 21:09
select * from pacienti;,20 5 2022 21:09
select * from programari;,20 5 2022 21:09
select * from programari;,20 5 2022 21:09
select * from angajati;,20 5 2022 23:23
select * from medici;,20 5 2022 23:23
select * from pacienti;,20 5 2022 23:23
select * from programari;,20 5 2022 23:23
select * from angajati;,20 5 2022 23:33
select * from medici;,20 5 2022 23:33
select * from pacienti;,20 5 2022 23:33
select * from programari;,20 5 2022 23:33
select * from angajati;,20 5 2022 23:43
select * from medici;,20 5 2022 23:43
select * from pacienti;,20 5 2022 23:43
select * from programari;,20 5 2022 23:43
select * from angajati;,20 5 2022 23:45
select * from medici;,20 5 2022 23:45
select * from pacienti;,20 5 2022 23:45
select * from programari;,20 5 2022 23:45
select * from angajati;,20 5 2022 23:47
select * from medici;,20 5 2022 23:47
select * from pacienti;,20 5 2022 23:47
select * from programari;,20 5 2022 23:47
select * from angajati;,20 5 2022 23:50
select * from medici;,20 5 2022 23:50
select * from pacienti;,20 5 2022 23:50
select * from programari;,20 5 2022 23:50
select * from angajati;,20 5 2022 23:51
select * from medici;,20 5 2022 23:51
select * from pacienti;,20 5 2022 23:51
select * from programari;,20 5 2022 23:51
select * from angajati;,20 5 2022 23:52
select * from medici;,20 5 2022 23:52
select * from pacienti;,20 5 2022 23:52
select * from programari;,20 5 2022 23:52
select * from angajati;,21 5 2022 00:00
select * from medici;,21 5 2022 00:00
select * from pacienti;,21 5 2022 00:00
select * from programari;,21 5 2022 00:00
select * from angajati;,21 5 2022 00:00
select * from medici;,21 5 2022 00:00
select * from pacienti;,21 5 2022 00:00
select * from programari;,21 5 2022 00:00
select * from angajati;,21 5 2022 00:00
select * from medici;,21 5 2022 00:00
select * from pacienti;,21 5 2022 00:00
select * from programari;,21 5 2022 00:00
select * from angajati;,21 5 2022 00:02
select * from medici;,21 5 2022 00:02
select * from pacienti;,21 5 2022 00:02
select * from programari;,21 5 2022 00:02
select * from angajati;,21 5 2022 00:02
select * from medici;,21 5 2022 00:02
select * from pacienti;,21 5 2022 00:02
select * from programari;,21 5 2022 00:02
select * from angajati;,21 5 2022 00:04
select * from medici;,21 5 2022 00:04
select * from pacienti;,21 5 2022 00:04
select * from programari;,21 5 2022 00:04
select * from angajati;,21 5 2022 00:06
select * from medici;,21 5 2022 00:06
select * from pacienti;,21 5 2022 00:06
select * from programari;,21 5 2022 00:06
select * from angajati;,21 5 2022 00:07
select * from medici;,21 5 2022 00:07
select * from pacienti;,21 5 2022 00:07
select * from programari;,21 5 2022 00:07
select * from angajati;,21 5 2022 00:09
select * from medici;,21 5 2022 00:09
select * from pacienti;,21 5 2022 00:09
select * from programari;,21 5 2022 00:09
select * from angajati;,21 5 2022 00:09
select * from medici;,21 5 2022 00:09
select * from pacienti;,21 5 2022 00:09
select * from programari;,21 5 2022 00:09
select * from angajati;,21 5 2022 00:12
select * from medici;,21 5 2022 00:12
select * from pacienti;,21 5 2022 00:12
select * from programari;,21 5 2022 00:12
select * from angajati;,21 5 2022 00:14
select * from medici;,21 5 2022 00:14
select * from pacienti;,21 5 2022 00:14
select * from programari;,21 5 2022 00:14
select * from angajati;,21 5 2022 00:17
select * from medici;,21 5 2022 00:17
select * from pacienti;,21 5 2022 00:17
select * from programari;,21 5 2022 00:17
select * from angajati;,21 5 2022 00:19
select * from medici;,21 5 2022 00:19
select * from pacienti;,21 5 2022 00:19
select * from programari;,21 5 2022 00:19
select * from angajati;,21 5 2022 00:23
select * from medici;,21 5 2022 00:23
select * from pacienti;,21 5 2022 00:23
select * from programari;,21 5 2022 00:23
select * from angajati;,21 5 2022 00:30
select * from medici;,21 5 2022 00:30
select * from pacienti;,21 5 2022 00:30
select * from programari;,21 5 2022 00:30
select * from angajati;,21 5 2022 00:36
select * from medici;,21 5 2022 00:36
select * from pacienti;,21 5 2022 00:36
select * from programari;,21 5 2022 00:36
select * from angajati;,21 5 2022 00:36
select * from medici;,21 5 2022 00:36
select * from pacienti;,21 5 2022 00:36
select * from programari;,21 5 2022 00:36
select * from angajati;,21 5 2022 00:38
select * from medici;,21 5 2022 00:38
select * from pacienti;,21 5 2022 00:38
select * from programari;,21 5 2022 00:38
select * from angajati;,21 5 2022 00:40
select * from medici;,21 5 2022 00:41
select * from pacienti;,21 5 2022 00:41
select * from programari;,21 5 2022 00:41
select * from angajati;,21 5 2022 00:43
select * from medici;,21 5 2022 00:43
select * from pacienti;,21 5 2022 00:43
select * from programari;,21 5 2022 00:43
select * from angajati;,21 5 2022 00:44
select * from angajati;,21 5 2022 00:44
select * from angajati;,21 5 2022 00:44
select * from pacienti;,21 5 2022 00:44
select * from programari;,21 5 2022 00:44
select * from medici;,21 5 2022 00:44
select * from angajati;,21 5 2022 00:46
select * from medici;,21 5 2022 00:46
select * from pacienti;,21 5 2022 00:46
select * from programari;,21 5 2022 00:46
select * from angajati;,21 5 2022 00:52
select * from medici;,21 5 2022 00:52
select * from pacienti;,21 5 2022 00:52
select * from programari;,21 5 2022 00:52
select * from angajati;,21 5 2022 00:53
select * from angajati;,21 5 2022 00:54
select * from medici;,21 5 2022 00:54
select * from pacienti;,21 5 2022 00:54
select * from programari;,21 5 2022 00:54
select * from angajati;,21 5 2022 00:55
select * from medici;,21 5 2022 00:55
select * from pacienti;,21 5 2022 00:55
select * from programari;,21 5 2022 00:55
select * from angajati;,21 5 2022 00:56
select * from medici;,21 5 2022 00:56
select * from pacienti;,21 5 2022 00:56
select * from programari;,21 5 2022 00:56
select * from angajati;,21 5 2022 00:56
select * from angajati;,21 5 2022 00:56
select * from angajati;,21 5 2022 00:57
select * from medici;,21 5 2022 00:57
select * from pacienti;,21 5 2022 00:57
select * from programari;,21 5 2022 00:57
select * from angajati;,21 5 2022 01:01
select * from medici;,21 5 2022 01:01
select * from pacienti;,21 5 2022 01:01
select * from programari;,21 5 2022 01:01
select * from angajati;,21 5 2022 01:05
select * from medici;,21 5 2022 01:05
select * from pacienti;,21 5 2022 01:05
select * from programari;,21 5 2022 01:05
select * from angajati;,21 5 2022 01:05
select * from angajati;,21 5 2022 01:06
select * from angajati;,21 5 2022 01:09
select * from medici;,21 5 2022 01:09
select * from pacienti;,21 5 2022 01:09
select * from programari;,21 5 2022 01:09
select * from angajati;,21 5 2022 01:12
select * from medici;,21 5 2022 01:12
select * from pacienti;,21 5 2022 01:12
select * from programari;,21 5 2022 01:12
select * from angajati;,21 5 2022 01:12
select * from medici;,21 5 2022 01:12
select * from pacienti;,21 5 2022 01:13
